system,green_view_index,green_view_index_ci_lo,green_view_index_ci_hi,building_view_index,building_view_index_ci_lo,building_view_index_ci_hi,type_highway_mismatch,type_highway_mismatch_ci_lo,type_highway_mismatch_ci_hi,slots_queries_with_zero_neighbours,slots_n_queries,slots_mean_slots_filled,slots_total_pairs,slots_max_possible_pairs
Stage 5 city encoder,0.1343738502472785,0.11328745934045738,0.15484653383781538,0.22255481722675338,0.18206098447608626,0.2629831237705197,0.31500000000000006,0.22000000000000003,0.41500000000000004,0.0,20.0,10.0,200.0,200.0
frozen imagenet,0.09076655406839573,0.06923813382754779,0.11216739334321817,0.13343719486195071,0.10217040780436243,0.1655231223475141,0.27999999999999997,0.15500000000000003,0.42000000000000004,0.0,20.0,10.0,200.0,200.0
VICReg ep100,0.08557712643024583,0.06616855188626662,0.10742745513911545,0.12680120067157577,0.0948678520581545,0.16384389280326753,0.36,0.23999999999999994,0.5,0.0,20.0,10.0,200.0,200.0
tabular (ORACLE-ish sanity check),0.023953737882225584,0.017098821143979998,0.032465521596468844,0.036183751339709955,0.028599932357454314,0.04435070333396804,0.0,0.0,0.0,0.0,20.0,10.0,200.0,200.0
random control,0.15192693593008577,,,0.24319064409548422,,,0.335,,,,,,,
